S.N,SECURITY_ID,SYMBOL,SECURITY_NAME
37,273,ICFC,ICFC Finance Limited
38,309,NICAP,NIC Asia Bank Limted Promoter Share
39,517,NBL,Nepal Bank Limited
40,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.
41,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited
42,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.
43,2773,SAEF,Sanima Equity Fund
44,2787,KPCL,Kalika power Company Ltd
45,2789,JOSHI,Joshi Hydropower Development Company Ltd
46,2792,UPPER,Upper Tamakoshi Hydropower Ltd
47,2859,SIGS2,Siddhartha Investment Growth Scheme - 2
48,2907,SSHL,Shiva Shree Hydropower Ltd
49,2933,KEF,Kumari Equity Fund
50,8068,CCBD88,Century Debenture 2088
51,8099,UHEWA,Upper Hewakhola Hydropower Company Limited
52,8102,MHL,Mandakini Hydropower Limited
53,145,SBL,Siddhartha Bank Limited
54,148,TRH,Taragaon Regency Hotel Limited
55,149,OHL,Oriental Hotels Limited
56,172,NABBC,Narayani Development Bank Limited
57,219,UNL,Unilever Nepal Limited
58,348,CZBIL,Citizens Bank International Limited
59,358,LBBL,Lumbini Bikas Bank Ltd.
60,591,SHPC,Sanima Mai Hydropower Ltd.
61,689,NICLPO,Nepal Insurance Co. Ltd Promoter Share
62,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd
63,2809,SHIVM,SHIVAM CEMENTS LTD
64,2810,UPCL,UNIVERSAL POWER COMPANY LTD
65,2881,NRIC,Nepal Reinsurance Company Limited
66,2887,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited
67,2896,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited
68,2925,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited 
69,8023,MMF1,Mega Mutual Fund -1
70,8036,RULB,Rastra Utthan Laghubitta Sanstha Limited
71,8043,CBLD88,Civil Bank Debenture 2088
72,8073,NICFC,NIC Asia Flexi CAP Fund
73,141,LBL,Laxmi Bank Limited
74,213,BNT,Bottlers Nepal (Terai) Limited
75,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.
76,397,ADBL,Agricultural Development Bank Limited
77,459,KSBBL,Kamana Sewa Bikas Bank Limited
78,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited
79,2768,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited
80,2831,UNHPL,Union Hydropower Limited
81,2843,SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited
82,2867,NMB50,NMB 50
83,2877,SFMF,Sunrise First Mutual Fund
84,2923,SLCF,Sanima Large Cap Fund
85,8063,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited
86,147,SHL,Soaltee Hotel Limited
87,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited
88,180,UIC,United Insurance Co. (Nepal) Ltd.
89,183,NIL,Neco Insurance Limited
90,186,IGI,IME General Insurance Ltd.
91,189,PICL,Prudential Insurance Co. Ltd.
92,210,CIT,Citizen Investment Trust
93,236,PFL,Pokhara Finance Ltd.
94,307,NTC,Nepal Doorsanchar Company Limited
95,473,SHINE,Shine Resunga Development Bank Ltd.
96,516,MFIL,Manjushree Finance Ltd.
97,587,RLFL,Reliance Finance Ltd.
98,634,RBCLPO,Rastriya Beema Company Limited Promoter Share
99,693,CLBSL,Civil Laghubitta Bittiya Sanstha Ltd.
100,2759,SPDL,Synergy Power Development Ltd.
101,2767,HPPL,Himalayan Power Partner Ltd.
102,2804,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited
